txn_id,item_number,txn_date,txn_time,type,qty,uom,job_id,reason_code,location,user_id
TX-0000023,ELE-00277-B,2023-01-02,08:08,ISSUE,50,EA,WO-285927,MANUAL,FLOOR,kbuyer
TX-0000024,ELE-00284-A,2023-01-02,15:43,ISSUE,33,EA,WO-985303,MANUAL,CRIB,FAB1
TX-0000025,ELE-00327,2023-01-02,12:58,ISSUE,10,EA,WO-268175,MANUAL,MAIN,RECV
TX-0000026,ELE-00353,2023-01-02,10:27,ISSUE,5,EA,SO-001851,SERVICE,RECV,RECV
TX-0000027,ELE-00377,2023-01-02,17:52,ISSUE,7,EA,WO-476157,MANUAL,MAIN,ASSY1
TX-0000028,ELE-00377,2023-01-02,15:41,ISSUE,9,EA,WO-599141,MANUAL,FLOOR,RECV
TX-0000029,ELE-00541-A,2023-01-02,12:05,ISSUE,6,FT,SO-002191,SERVICE,FLOOR,RECV
TX-0000030,ELE-00575,2023-01-02,15:08,ISSUE,1,EA,WO-234621,MANUAL,CRIB,FAB1
TX-0000031,ELE-00580,2023-01-02,10:42,ISSUE,6,FT,WO-777333,MANUAL,FLOOR,ASSY1
TX-0000032,ELE-00716,2023-01-02,13:47,ISSUE,1,EA,SO-000442,SERVICE,CRIB,ASSY1
TX-0000033,ELE-00863,2023-01-02,10:31,ISSUE,11,EA,WO-333196,MANUAL,MAIN,ASSY1
TX-0000034,ELE-00923-A,2023-01-02,17:03,ISSUE,9,EA,SO-001586,SERVICE,FLOOR,RECV
TX-0000035,ELE-00950,2023-01-02,09:52,ISSUE,7,EA,WO-226758,MANUAL,RECV,RECV
TX-0000036,ELE-00958-B,2023-01-02,07:42,ISSUE,4,EA,WO-949691,MANUAL,MAIN,FAB1
TX-0000037,ELE-01126,2023-01-02,06:54,ISSUE,7,EA,SO-004147,SERVICE,CRIB,kbuyer
TX-0000038,ELE-01200,2023-01-02,16:45,ISSUE,13,EA,WO-982805,MANUAL,FLOOR,RECV
TX-0000039,ELE-01200,2023-01-02,06:36,ISSUE,7,EA,WO-148902,MANUAL,CRIB,FAB1
TX-0000040,ELE-01212,2023-01-02,17:33,ISSUE,8,EA,WO-659600,MANUAL,MAIN,RECV
TX-0000041,ELE-01237,2023-01-02,12:25,ISSUE,8,EA,WO-664221,MANUAL,MAIN,FAB1
TX-0000042,FAS-00048,2023-01-02,07:14,ISSUE,3,EA,WO-443407,MANUAL,RECV,ASSY1
TX-0000043,FAS-00214,2023-01-02,16:45,ISSUE,3,EA,WO-525441,MANUAL,RECV,FAB1
TX-0000044,FAS-00233-B,2023-01-02,09:50,ISSUE,11,EA,WO-747252,MANUAL,CRIB,kbuyer
TX-0000045,FAS-00299-C,2023-01-02,12:15,ISSUE,11,EA,WO-199739,MANUAL,RECV,RECV
TX-0000046,FAS-00343,2023-01-02,10:38,ISSUE,5,EA,WO-861946,MANUAL,MAIN,ASSY1
TX-0000047,FAS-00379,2023-01-02,11:05,ISSUE,14,EA,WO-261780,MANUAL,MAIN,ASSY1
TX-0000048,FAS-00379,2023-01-02,11:35,ISSUE,44,EA,WO-784760,MANUAL,CRIB,ASSY1
TX-0000049,FAS-00432,2023-01-02,12:46,ISSUE,111,EA,WO-876763,MANUAL,CRIB,RECV
TX-0000050,FAS-00465,2023-01-02,06:14,ISSUE,10,EA,WO-478570,MANUAL,RECV,RECV
TX-0000051,FAS-00478,2023-01-02,12:36,ISSUE,11,EA,WO-996262,MANUAL,CRIB,ASSY1
TX-0000052,FAS-00478,2023-01-02,17:13,ISSUE,4,EA,WO-819901,MANUAL,MAIN,RECV
TX-0000053,FAS-00482,2023-01-02,10:35,ISSUE,2,EA,WO-728576,MANUAL,FLOOR,jbuyer
TX-0000054,FAS-00530,2023-01-02,16:40,ISSUE,7,EA,WO-831583,MANUAL,FLOOR,scoord
TX-0000055,FAS-00611,2023-01-02,10:13,ISSUE,5,EA,WO-788624,MANUAL,CRIB,ASSY1
TX-0000056,FAS-00615,2023-01-02,13:47,ISSUE,3,EA,WO-950158,MANUAL,CRIB,RECV
TX-0000057,FAS-00637-B,2023-01-02,07:50,ISSUE,62,EA,WO-977408,MANUAL,CRIB,FAB1
TX-0000058,FAS-00648,2023-01-02,09:08,ISSUE,7,EA,WO-682593,MANUAL,MAIN,pmgr
TX-0000059,FAS-00652,2023-01-02,14:08,ISSUE,6,EA,WO-851870,MANUAL,RECV,FAB1
TX-0000060,FAS-00658,2023-01-02,14:17,ISSUE,1,EA,WO-949669,MANUAL,FLOOR,jbuyer
TX-0000061,FAS-00674,2023-01-02,11:09,ISSUE,7,EA,WO-263664,MANUAL,FLOOR,ASSY1
TX-0000062,FAS-00684,2023-01-02,07:13,ISSUE,30,EA,WO-108946,MANUAL,CRIB,FAB1
TX-0000063,FAS-00813,2023-01-02,08:35,ISSUE,1,EA,WO-370510,MANUAL,FLOOR,FAB1
TX-0000064,FAS-00821,2023-01-02,08:17,ISSUE,5,EA,WO-912779,MANUAL,MAIN,jbuyer
TX-0000065,FAS-00878,2023-01-02,08:47,ISSUE,5,EA,WO-579625,MANUAL,CRIB,FAB1
TX-0000066,FAS-00996,2023-01-02,09:45,ISSUE,8,EA,WO-364144,MANUAL,MAIN,kbuyer
TX-0000067,FAS-01031,2023-01-02,10:52,ISSUE,11,EA,WO-520117,MANUAL,MAIN,FAB1
TX-0000068,FAS-01031,2023-01-02,10:06,ISSUE,11,EA,WO-449275,MANUAL,MAIN,ASSY1
TX-0000069,FAS-01031,2023-01-02,15:07,ISSUE,12,EA,WO-255258,MANUAL,CRIB,RECV
TX-0000070,FAS-01043,2023-01-02,07:46,ISSUE,24,EA,WO-450339,MANUAL,CRIB,FAB1
TX-0000071,FAS-01071,2023-01-02,13:58,ISSUE,2,EA,WO-173497,MANUAL,CRIB,FAB1
TX-0000072,FAS-01127,2023-01-02,11:36,ISSUE,77,EA,WO-287777,MANUAL,RECV,FAB1
TX-0000073,FAS-01171,2023-01-02,06:16,ISSUE,3,EA,WO-153084,MANUAL,FLOOR,jbuyer
TX-0000074,FAS-01197,2023-01-02,15:37,ISSUE,5,EA,WO-221473,MANUAL,CRIB,FAB1
TX-0000075,FAS-01223,2023-01-02,17:24,ISSUE,8,EA,SO-002037,SERVICE,RECV,RECV
TX-0000076,FAS-01223,2023-01-02,17:57,ISSUE,21,EA,WO-193480,MANUAL,FLOOR,FAB1
TX-0000077,FIT-00165,2023-01-02,08:18,ISSUE,1,EA,WO-678516,MANUAL,FLOOR,RECV
TX-0000078,FIT-00231,2023-01-02,08:09,ISSUE,5,EA,WO-668633,MANUAL,CRIB,ASSY1
TX-0000079,FIT-00314,2023-01-02,14:23,ISSUE,5,EA,WO-720409,MANUAL,FLOOR,ASSY1
TX-0000080,FIT-00795,2023-01-02,16:27,ISSUE,8,EA,SO-003708,SERVICE,FLOOR,ASSY1
TX-0000081,FIT-00846,2023-01-02,11:06,ISSUE,1,EA,WO-366666,MANUAL,CRIB,RECV
TX-0000082,FIT-00846,2023-01-02,07:35,ISSUE,6,EA,WO-430384,MANUAL,CRIB,ASSY1
TX-0000083,FIT-00931,2023-01-02,17:05,ISSUE,30,EA,WO-458807,MANUAL,FLOOR,RECV
TX-0000084,FIT-00932,2023-01-02,15:59,ISSUE,5,EA,WO-447084,MANUAL,FLOOR,RECV
TX-0000085,FIT-00977,2023-01-02,15:06,ISSUE,5,EA,WO-774404,MANUAL,RECV,ASSY1
TX-0000086,FIT-01005,2023-01-02,06:33,ISSUE,5,EA,WO-651669,MANUAL,FLOOR,RECV
TX-0000087,FIT-01069,2023-01-02,16:33,ISSUE,4,EA,WO-218452,MANUAL,MAIN,FAB1
TX-0000088,FIT-01107,2023-01-02,07:49,ISSUE,14,EA,WO-519106,MANUAL,CRIB,ASSY1
TX-0000089,FIT-01177,2023-01-02,08:40,ISSUE,2,EA,WO-186589,MANUAL,FLOOR,FAB1
TX-0000090,FIT-01177,2023-01-02,13:45,ISSUE,9,EA,WO-741559,MANUAL,RECV,RECV
TX-0000091,FIT-01177,2023-01-02,14:19,ISSUE,6,EA,WO-179871,MANUAL,MAIN,RECV
TX-0000092,FIT-01213,2023-01-02,10:13,ISSUE,6,EA,WO-680105,MANUAL,FLOOR,RECV
TX-0000093,FIT-01244,2023-01-02,07:30,ISSUE,3,EA,SO-003106,SERVICE,MAIN,FAB1
TX-0000094,FIT-01271,2023-01-02,08:49,ISSUE,10,EA,WO-327205,MANUAL,CRIB,FAB1
TX-0000095,FIT-01272,2023-01-02,10:32,ISSUE,3,EA,WO-192370,MANUAL,MAIN,kbuyer
TX-0000096,FIT-01281,2023-01-02,10:09,ISSUE,9,EA,SO-000297,SERVICE,MAIN,RECV
TX-0000097,HDW-00000,2023-01-02,09:02,ISSUE,4,EA,WO-296660,MANUAL,CRIB,RECV
TX-0000098,HDW-00000,2023-01-02,14:30,ISSUE,3,EA,WO-730208,MANUAL,CRIB,RECV
TX-0000099,HDW-00006,2023-01-02,12:58,ISSUE,2,EA,WO-354372,MANUAL,MAIN,RECV
TX-0000100,HDW-00193,2023-01-02,13:41,ISSUE,93,EA,WO-609685,MANUAL,RECV,FAB1
TX-0000101,HDW-00237,2023-01-02,07:04,ISSUE,29,EA,WO-133673,MANUAL,FLOOR,FAB1
TX-0000102,HDW-00326,2023-01-02,10:48,ISSUE,6,EA,WO-306884,MANUAL,FLOOR,ASSY1
TX-0000103,HDW-00342-C,2023-01-02,07:53,ISSUE,7,EA,WO-215667,MANUAL,RECV,RECV
TX-0000104,HDW-00382,2023-01-02,17:34,ISSUE,15,EA,WO-122252,MANUAL,FLOOR,RECV
TX-0000105,HDW-00402,2023-01-02,12:48,ISSUE,5,EA,WO-617058,MANUAL,MAIN,recvclerk
TX-0000106,HDW-00429-B,2023-01-02,17:34,ISSUE,111,EA,WO-902748,MANUAL,CRIB,FAB1
TX-0000107,HDW-00778,2023-01-02,09:52,ISSUE,12,EA,WO-888038,MANUAL,CRIB,FAB1
TX-0000108,HDW-00779,2023-01-02,17:10,ISSUE,6,EA,WO-613942,MANUAL,RECV,RECV
TX-0000109,HDW-00852,2023-01-02,17:56,ISSUE,4,EA,WO-540091,MANUAL,FLOOR,kbuyer
TX-0000110,HDW-00934,2023-01-02,06:24,ISSUE,16,EA,WO-217794,MANUAL,CRIB,FAB1
TX-0000111,HDW-00992,2023-01-02,08:27,ISSUE,6,EA,WO-296119,MANUAL,FLOOR,FAB1
TX-0000112,HDW-01087,2023-01-02,10:18,ISSUE,9,EA,WO-948617,MANUAL,CRIB,recvclerk
TX-0000113,HDW-01159,2023-01-02,17:34,ISSUE,19,EA,WO-473326,MANUAL,FLOOR,RECV
TX-0000114,MEC-00076,2023-01-02,13:30,ISSUE,4,EA,WO-303196,MANUAL,RECV,FAB1
TX-0000115,MEC-00168,2023-01-02,17:37,ISSUE,8,EA,WO-838526,MANUAL,CRIB,jbuyer
TX-0000116,MEC-00172,2023-01-02,13:30,ISSUE,6,EA,WO-115364,MANUAL,MAIN,kbuyer
TX-0000117,MEC-00198,2023-01-02,15:08,ISSUE,10,EA,WO-652093,MANUAL,MAIN,ASSY1
TX-0000118,MEC-00224,2023-01-02,10:54,ISSUE,2,EA,WO-681012,MANUAL,RECV,RECV
TX-0000119,MEC-00331,2023-01-02,09:05,ISSUE,10,EA,WO-149501,MANUAL,CRIB,RECV
TX-0000120,MEC-00375,2023-01-02,06:11,ISSUE,1,EA,WO-759851,MANUAL,MAIN,FAB1
TX-0000121,MEC-00435,2023-01-02,07:24,ISSUE,4,EA,WO-910566,MANUAL,CRIB,pmgr
TX-0000122,MEC-00435,2023-01-02,11:37,ISSUE,16,EA,WO-741308,MANUAL,FLOOR,ASSY1
TX-0000123,MEC-00455-A,2023-01-02,06:39,ISSUE,41,EA,WO-412991,MANUAL,FLOOR,FAB1
TX-0000124,MEC-00475,2023-01-02,08:08,ISSUE,6,EA,WO-447135,MANUAL,MAIN,ASSY1
TX-0000125,MEC-00483,2023-01-02,07:06,ISSUE,3,EA,WO-806171,MANUAL,RECV,scoord
TX-0000126,MEC-00516-B,2023-01-02,17:06,ISSUE,42,EA,WO-488552,MANUAL,CRIB,RECV
TX-0000127,MEC-00529,2023-01-02,14:37,ISSUE,7,EA,WO-675326,MANUAL,MAIN,ASSY1
TX-0000128,MEC-00538,2023-01-02,15:02,ISSUE,138,EA,WO-202662,MANUAL,MAIN,recvclerk
TX-0000129,MEC-00592,2023-01-02,06:56,ISSUE,14,EA,WO-591569,MANUAL,CRIB,RECV
TX-0000130,MEC-00668,2023-01-02,13:42,ISSUE,7,EA,WO-676965,MANUAL,MAIN,RECV
TX-0000131,MEC-00690,2023-01-02,07:06,ISSUE,10,EA,WO-553553,MANUAL,RECV,ASSY1
TX-0000132,MEC-00701,2023-01-02,14:22,ISSUE,2,EA,WO-272521,MANUAL,RECV,FAB1
TX-0000133,MEC-00730,2023-01-02,14:25,ISSUE,4,EA,WO-305152,MANUAL,RECV,FAB1
TX-0000134,MEC-00746,2023-01-02,12:43,ISSUE,10,EA,WO-887642,MANUAL,CRIB,RECV
TX-0000135,MEC-00766-B,2023-01-02,06:43,ISSUE,2,EA,WO-323170,MANUAL,FLOOR,kbuyer
TX-0000136,MEC-00805,2023-01-02,17:50,ISSUE,1,EA,WO-287447,MANUAL,MAIN,RECV
TX-0000137,MEC-00851,2023-01-02,08:12,ISSUE,3,EA,WO-473431,MANUAL,RECV,RECV
TX-0000138,MEC-00925,2023-01-02,10:28,ISSUE,9,EA,WO-504922,MANUAL,FLOOR,ASSY1
TX-0000139,MEC-00935,2023-01-02,09:20,ISSUE,8,EA,WO-588080,MANUAL,FLOOR,ASSY1
TX-0000140,MEC-00935,2023-01-02,09:27,ISSUE,5,EA,WO-742951,MANUAL,MAIN,RECV
TX-0000141,MEC-00979,2023-01-02,17:57,ISSUE,5,EA,WO-154797,MANUAL,CRIB,ASSY1
TX-0000142,MEC-00984-A,2023-01-02,10:45,ISSUE,10,EA,WO-597136,MANUAL,RECV,FAB1
TX-0000143,MEC-00993,2023-01-02,07:01,ISSUE,18,EA,WO-717608,MANUAL,CRIB,FAB1
TX-0000144,MEC-00999,2023-01-02,16:06,ISSUE,27,EA,WO-638745,MANUAL,FLOOR,recvclerk
TX-0000145,MEC-01049,2023-01-02,13:14,ISSUE,9,EA,WO-301034,MANUAL,CRIB,ASSY1
TX-0000146,MEC-01062,2023-01-02,06:51,ISSUE,4,EA,WO-569877,MANUAL,CRIB,jbuyer
TX-0000147,MEC-01096,2023-01-02,12:43,ISSUE,9,EA,WO-524316,MANUAL,CRIB,RECV
TX-0000148,MEC-01123,2023-01-02,09:30,ISSUE,7,EA,WO-186744,MANUAL,CRIB,FAB1
TX-0000149,MEC-01216,2023-01-02,08:49,ISSUE,4,EA,WO-951129,MANUAL,RECV,kbuyer
TX-0000150,MEC-01262,2023-01-02,09:09,ISSUE,11,EA,WO-437551,MANUAL,CRIB,ASSY1
TX-0000151,RM-00008,2023-01-02,13:57,ISSUE,5,EA,WO-225172,MANUAL,FLOOR,ASSY1
TX-0000152,RM-00058,2023-01-02,15:23,ISSUE,16,EA,WO-941839,MANUAL,RECV,ASSY1
TX-0000153,RM-00085,2023-01-02,13:46,ISSUE,4,EA,SO-003078,SERVICE,RECV,ASSY1
TX-0000154,RM-00085,2023-01-02,11:28,ISSUE,6,EA,WO-819735,MANUAL,RECV,FAB1
TX-0000155,RM-00154,2023-01-02,15:53,ISSUE,10,EA,WO-249521,MANUAL,MAIN,RECV
TX-0000156,RM-00208,2023-01-02,16:56,ISSUE,5,EA,WO-135068,MANUAL,CRIB,RECV
TX-0000157,RM-00238,2023-01-02,06:12,ISSUE,5,EA,WO-600376,MANUAL,RECV,ASSY1
TX-0000158,RM-00258,2023-01-02,14:09,ISSUE,39,EA,WO-706093,MANUAL,MAIN,RECV
TX-0000159,RM-00293,2023-01-02,09:11,ISSUE,57,EA,WO-662652,MANUAL,FLOOR,ASSY1
TX-0000160,RM-00340,2023-01-02,11:43,ISSUE,4,EA,WO-479233,MANUAL,MAIN,ASSY1
TX-0000161,RM-00363,2023-01-02,06:52,ISSUE,9,EA,WO-994338,MANUAL,CRIB,jbuyer
TX-0000162,RM-00388,2023-01-02,07:59,ISSUE,46,EA,WO-246925,MANUAL,MAIN,FAB1
TX-0000163,RM-00428,2023-01-02,09:21,ISSUE,6,EA,WO-138483,MANUAL,RECV,pmgr
TX-0000164,RM-00510,2023-01-02,14:55,ISSUE,3,EA,WO-550230,MANUAL,RECV,ASSY1
TX-0000165,RM-00632,2023-01-02,17:06,ISSUE,1,EA,WO-880798,MANUAL,MAIN,kbuyer
TX-0000166,RM-00678,2023-01-02,08:30,ISSUE,15,EA,WO-530137,MANUAL,FLOOR,RECV
TX-0000167,RM-00727,2023-01-02,12:00,ISSUE,4,EA,WO-119439,MANUAL,RECV,RECV
TX-0000168,RM-00731,2023-01-02,12:19,ISSUE,5,EA,WO-107369,MANUAL,RECV,pmgr
TX-0000169,RM-00758,2023-01-02,13:52,ISSUE,4,EA,WO-182587,MANUAL,MAIN,ASSY1
TX-0000170,RM-00763,2023-01-02,11:57,ISSUE,17,EA,WO-298464,MANUAL,RECV,jbuyer
TX-0000171,RM-00793,2023-01-02,08:39,ISSUE,8,EA,WO-986020,MANUAL,CRIB,scoord
TX-0000172,RM-00810,2023-01-02,12:44,ISSUE,9,EA,WO-933548,MANUAL,CRIB,ASSY1
TX-0000173,RM-00871,2023-01-02,16:09,ISSUE,29,EA,WO-967830,MANUAL,CRIB,FAB1
TX-0000174,RM-00871,2023-01-02,09:41,ISSUE,13,EA,WO-140748,MANUAL,CRIB,FAB1
TX-0000175,RM-01068,2023-01-02,16:27,ISSUE,11,EA,WO-617508,MANUAL,FLOOR,FAB1
TX-0000176,RM-01100,2023-01-02,10:34,ISSUE,13,EA,WO-988114,MANUAL,MAIN,RECV
TX-0000177,RM-01116,2023-01-02,13:21,ISSUE,5,EA,WO-307958,MANUAL,FLOOR,ASSY1
TX-0000178,RM-01116,2023-01-02,10:09,ISSUE,2,EA,WO-598099,MANUAL,RECV,FAB1
TX-0000179,RM-01169,2023-01-02,14:04,ISSUE,13,EA,WO-582871,MANUAL,CRIB,FAB1
TX-0000180,SVC-00099,2023-01-02,09:36,ISSUE,15,EA,WO-244314,MANUAL,MAIN,ASSY1
TX-0000181,SVC-00099,2023-01-02,11:19,ISSUE,2,EA,WO-804883,MANUAL,CRIB,jbuyer
TX-0000182,SVC-00341,2023-01-02,08:10,ISSUE,6,EA,WO-725017,MANUAL,CRIB,FAB1
TX-0000183,SVC-00456,2023-01-02,15:23,ISSUE,2,EA,SO-002487,SERVICE,FLOOR,ASSY1
TX-0000184,SVC-00624,2023-01-02,13:25,ISSUE,9,EA,WO-353641,MANUAL,RECV,FAB1
TX-0000185,SVC-00891,2023-01-02,07:57,ISSUE,4,EA,WO-562968,MANUAL,FLOOR,recvclerk
TX-0000186,SVC-01022,2023-01-02,13:16,ISSUE,3,EA,WO-200847,MANUAL,CRIB,RECV
